pillar,occupation,n_skills,n_groups,exposure,pct_2023,pct_2026,change_pp
law,Human Resources Managers,66,1,0.509,18.13,14.61,-3.52
law,Financial Managers,66,1,0.509,5.56,5.87,0.31
leading and motivating,All,25,1,0.314,13.12,15.2,2.08
leading and motivating,Marketing Managers,25,1,0.314,11.26,12.7,1.44
leading and motivating,Human Resources Managers,25,1,0.314,19.89,23.55,3.66
leading and motivating,Financial Managers,25,1,0.314,13.02,16.32,3.3
liaising and networking,All,198,4,0.383,38.99,44.0,5.01
liaising and networking,Marketing Managers,198,4,0.383,38.53,43.22,4.69
liaising and networking,Human Resources Managers,198,4,0.383,31.44,43.34,11.9
liaising and networking,Financial Managers,198,4,0.383,42.89,45.9,3.01
making decisions,All,17,1,0.435,15.26,14.82,-0.44
making decisions,Marketing Managers,17,1,0.435,13.59,13.6,0.01
making decisions,Human Resources Managers,17,1,0.435,7.74,13.59,5.85
making decisions,Financial Managers,17,1,0.435,20.95,17.87,-3.08
manage quality,All,24,4,0.471,4.17,6.51,2.34
manage quality,Marketing Managers,24,4,0.471,4.37,6.8,2.43
manage quality,Human Resources Managers,24,4,0.471,2.37,6.84,4.47
manage quality,Financial Managers,24,4,0.471,4.64,5.78,1.14
management skills,All,24,1,0.425,4.97,4.31,-0.66
management skills,Marketing Managers,24,1,0.425,2.61,2.31,-0.3
management skills,Human Resources Managers,24,1,0.425,15.72,11.59,-4.13
management skills,Financial Managers,24,1,0.425,3.89,4.93,1.04
managing information,All,34,1,0.667,2.44,2.51,0.07
managing information,Marketing Managers,34,1,0.667,2.13,2.48,0.35
managing information,Human Resources Managers,34,1,0.667,2.21,2.4,0.19
managing information,Financial Managers,34,1,0.667,3.0,2.64,-0.36
mathematics and statistics,All,20,2,0.579,2.24,1.94,-0.3
mathematics and statistics,Marketing Managers,20,2,0.579,1.61,1.87,0.26
mathematics and statistics,Human Resources Managers,20,2,0.579,0.41,1.44,1.03
mathematics and statistics,Financial Managers,20,2,0.579,3.97,2.31,-1.66
meet commitments,All,17,4,0.445,10.89,12.93,2.04
meet commitments,Marketing Managers,17,4,0.445,8.57,9.45,0.88
meet commitments,Human Resources Managers,17,4,0.445,9.78,12.08,2.3
meet commitments,Financial Managers,17,4,0.445,14.81,20.34,5.53
monitoring developments in area of expertise,All,54,1,0.518,5.93,6.35,0.42
monitoring developments in area of expertise,Marketing Managers,54,1,0.518,6.21,6.33,0.12
monitoring developments in area of expertise,Human Resources Managers,54,1,0.518,5.32,6.43,1.11
monitoring developments in area of expertise,Financial Managers,54,1,0.518,5.77,6.33,0.56
"monitoring, inspecting and testing",All,210,8,0.557,17.02,17.03,0.01
"monitoring, inspecting and testing",Marketing Managers,210,8,0.557,14.08,13.64,-0.44
"monitoring, inspecting and testing",Human Resources Managers,210,8,0.557,9.5,13.9,4.4
"monitoring, inspecting and testing",Financial Managers,210,8,0.557,24.59,25.35,0.76
negotiating,All,60,4,0.409,10.02,8.99,-1.03
negotiating,Marketing Managers,60,4,0.409,8.18,7.55,-0.63
negotiating,Human Resources Managers,60,4,0.409,15.27,12.75,-2.52
negotiating,Financial Managers,60,4,0.409,10.53,10.14,-0.39
obtaining information verbally,All,41,3,0.418,14.75,16.95,2.2
obtaining information verbally,Marketing Managers,41,3,0.418,15.55,17.51,1.96
