group,occupation,n_skills,exposure,pct_2023,pct_2026,change_pp
maintaining operational records,All,38,0.591,1.35,1.19,-0.16
maintaining operational records,Marketing Managers,38,0.591,1.72,1.04,-0.68
maintaining operational records,Human Resources Managers,38,0.591,1.35,2.16,0.81
maintaining operational records,Financial Managers,38,0.591,0.78,1.03,0.25
making decisions,All,17,0.492,15.26,14.82,-0.44
making decisions,Marketing Managers,17,0.492,13.59,13.6,0.01
making decisions,Human Resources Managers,17,0.492,7.74,13.59,5.85
making decisions,Financial Managers,17,0.492,20.95,17.87,-3.08
making models,All,7,0.556,1.11,0.98,-0.13
making models,Marketing Managers,7,0.556,1.3,0.68,-0.62
making models,Human Resources Managers,7,0.556,0.08,1.09,1.01
making models,Financial Managers,7,0.556,1.27,1.54,0.27
management and administration,All,78,0.498,39.4,41.44,2.04
management and administration,Marketing Managers,78,0.498,36.39,38.42,2.03
management and administration,Human Resources Managers,78,0.498,47.85,49.86,2.01
management and administration,Financial Managers,78,0.498,40.28,43.59,3.31
management skills,All,24,0.484,4.97,4.31,-0.66
management skills,Marketing Managers,24,0.484,2.61,2.31,-0.3
management skills,Human Resources Managers,24,0.484,15.72,11.59,-4.13
management skills,Financial Managers,24,0.484,3.89,4.93,1.04
managing and analysing digital data,All,54,0.627,8.23,12.13,3.9
managing and analysing digital data,Marketing Managers,54,0.627,11.26,15.9,4.64
managing and analysing digital data,Human Resources Managers,54,0.627,5.44,4.89,-0.55
managing and analysing digital data,Financial Managers,54,0.627,4.91,7.9,2.99
managing budgets or finances,All,45,0.506,13.05,13.08,0.03
managing budgets or finances,Marketing Managers,45,0.506,9.39,7.8,-1.59
managing budgets or finances,Human Resources Managers,45,0.506,4.05,5.44,1.39
managing budgets or finances,Financial Managers,45,0.506,22.31,27.32,5.01
managing human resources,All,12,0.511,8.18,7.3,-0.88
managing human resources,Marketing Managers,12,0.511,1.25,2.0,0.75
managing human resources,Human Resources Managers,12,0.511,46.09,37.49,-8.6
managing human resources,Financial Managers,12,0.511,2.32,3.85,1.53
managing information,All,34,0.649,2.44,2.51,0.07
managing information,Marketing Managers,34,0.649,2.13,2.48,0.35
managing information,Human Resources Managers,34,0.649,2.21,2.4,0.19
managing information,Financial Managers,34,0.649,3.0,2.64,-0.36
marketing and advertising,All,44,0.5,32.61,33.08,0.47
marketing and advertising,Marketing Managers,44,0.5,48.45,46.67,-1.78
